ID,PopulationUntransformed,SeriesStep
15,126.2,6
15,101.4,7
15,119.2,8
15,137,9
15,107.1,10
15,145.4,11
15,122.2,12
15,104,13
15,132.4,14
15,134.7,15
15,140.4,16
15,110.7,17
15,110.3,18
15,108.1,19
15,129.1,20
16,89.7,0
16,107.8,1
16,100,2
16,111,3
16,133.5,4
16,123.8,5
16,107.6,6
16,91.9,7
16,92.3,8
16,118.4,9
16,106,10
16,102.6,11
16,107.3,12
16,100.4,13
16,106.4,14
16,115.4,15
16,123.6,16
16,132.3,17
16,122.8,18
16,132.9,19
16,120.2,20
17,68.2,0
17,99.9,1
17,100,2
17,102.4,3
17,112.3,4
17,111.9,5
17,100.6,6
17,87.9,7
17,94,8
17,98,9
17,90.2,10
17,78.6,11
17,77.4,12
17,83.4,13
17,86.1,14
17,93.4,15
17,90.5,16
17,116.7,17
17,115.1,18
17,116.5,19
17,98,20
18,87.2,0
18,111.2,1
18,100,2
18,106.5,3
18,100.6,4
18,118.3,5
18,122.2,6
18,117.8,7
18,113.1,8
18,114.7,9
18,101.8,10
18,99.9,11
18,95.9,12
18,115.4,13
18,123.9,14
18,148,15
18,137.9,16
18,158,17
18,137.2,18
18,143.8,19
18,134,20
44,8,0
44,20,1
44,17,2
44,23,3
44,4,4
44,22,5
44,2,6
44,8,7
44,42,8
44,1,9
44,23,10
44,12,11
44,32,12
44,4,13
44,50,14
44,8,15
44,32,16
44,4,17
44,22,18
44,17,19
44,5,20
44,14,21
44,16,23
44,2,24
44,20,25
44,32,26
44,22,27
44,52,28
45,58,0
45,19,1
45,55,2
45,10,3
45,35,4
45,20,5
45,36,6
45,38,7
45,38,8
45,64,9
45,54,10
45,38,11
45,44,12
45,32,13
45,38,14
45,90,15
45,35,16
45,23,17
45,39,18
45,63,19
45,44,20
45,38,22
45,18,23
45,22,24
45,36,25
45,26,26
45,58,27
45,40,28
46,17,0
46,25,1
46,9,2
46,76,3
46,23,4
46,16,5
46,9,6
46,35,7
46,140,8
46,2,9
46,106,10
46,120,11
46,64,12
46,62,13
46,174,14
46,23,15
46,94,16
46,42,17
46,96,18
46,76,19
46,78,20
46,57,21
46,22,23
46,26,24
46,40,25
46,19,26
46,44,27
46,122,28
47,68,0
47,92,1
47,38,2
47,62,3
47,40,4
47,112,5
47,64,6
47,61,7
47,76,8
47,35,9
47,122,10
47,57,11
47,63,12
47,77,13
47,85,14
47,20,15
47,82,16
47,57,17
47,80,18
47,72,19
47,70,20
47,20,22
47,8,23
47,44,24
47,54,25
47,22,26
47,84,27
47,43,28
56,40,0
56,40,1
56,40,2
56,40,3
56,40,4
56,52,5
56,45,6
56,45,7
56,36,8
56,31,9
56,37,10
56,35,11
56,39,12
56,43,18
56,52,19
56,50,20
56,53,21
56,52,22
56,50,23
56,52,24
56,54,25
56,50,26
56,50,27
56,45,28
56,45,29
56,47,30
56,49,31
56,41,32
56,40,33
56,40,34
56,52,35
56,49,36
56,49,37
56,49,38
56,49,39
56,50,40
56,52,41
56,47,42
56,51,43
56,49,44
56,53,45
56,53,46
56,47,47
56,46,48
56,44,49
56,49,50
56,51,51
57,45,0
57,39,1
57,41,2
57,44,3
57,39,4
57,43,5
57,41,6
57,35,7
57,32,8
57,31,9
57,38,10
57,40,11
57,32,12
57,35,18
57,24,19
57,40,20
57,48,21
57,60,22
57,40,23
57,48,24
57,49,25
57,49,26
57,49,27
57,49,28
57,49,29
57,50,30
57,50,31
57,47,32
57,43,33
57,40,34
57,36,35
57,32,36
57,34,37
57,36,38
57,40,39
57,40,40
57,40,41
57,45,42
57,45,43
57,43,44
57,42,45
57,40,46
57,35,47
57,38,48
57,40,49
57,30,50
57,35,51
58,10,0
58,13,1
58,12,2
58,9,3
58,13,4
58,13,5
58,14,6
58,12,7
58,10,8
58,9,9
58,12,10
58,10,11
58,12,12
58,13,18
58,14,19
58,20,20
58,24,21
58,27,22
58,38,23
58,38,24
58,28,25
58,30,26
58,35,27
58,30,28
58,30,29
58,26,30
58,36,31
58,33,32
58,12,33
58,16,34
58,18,35
58,21,36
58,23,37
58,23,38
58,28,39
58,30,40
58,27,41
58,25,42
58,20,43
58,13,44
58,8,45
58,9,46
58,9,47
58,9,48
58,12,49
58,13,50
58,13,51
59,3,0
59,3,1
59,2,2
59,4,3
59,3,4
59,3,5
59,3,6
59,2,7
59,1,8
59,2,9
59,1,10
59,1,11
59,1,12
59,1,18
59,3,19
59,5,20
59,9,21
59,9,22
59,10,23
59,10,24
59,12,25
59,14,26
59,15,27
59,18,28
59,14,29
59,16,30
59,27,31
59,25,32
59,25,33
59,25,34
59,27,35
59,30,36
59,40,37
59,48,38
59,38,39
59,40,40
59,45,41
59,45,42
59,38,43
59,38,44
59,38,45
59,38,46
59,33,47
59,29,48
59,26,49
59,23,50
59,23,51
60,0,0
60,0,1
60,0,2
60,0,3
60,0,4
60,0,5
60,0,6
60,0,7
60,0,8
60,0,9
60,0,10
60,0,11
60,1,12
60,2,18
60,1,19
60,6,20
60,11,21
60,12,22
60,8,23
60,10,24
60,10,25
60,10,26
60,5,27
60,4,28
60,4,29
60,3,30
60,2,31
60,3,32
60,4,33
60,15,34
60,9,35
60,13,36
60,18,37
60,30,38
60,35,39
60,40,40
60,50,41
60,53,42
60,50,43
60,47,44
60,43,45
60,40,46
60,40,47
60,40,48
60,40,49
60,40,50
60,40,51
61,6,0
61,8,1
61,10,2
61,11,3
61,12,4
61,10,5
61,8,6
61,6,7
61,5,8
61,3,9
61,5,10
61,4,11
61,4,12
61,4,18
61,3,19
61,1,20
61,3,21
61,4,22
61,6,23
61,16,24
61,23,25
61,25,26
61,20,27
61,16,28
61,16,29
61,15,30
61,25,31
61,25,32
61,17,33
61,20,34
61,4,35
61,7,36
61,18,37
61,27,38
61,18,39
61,18,40
61,10,41
61,9,42
61,10,43
61,9,44
61,7,45
61,6,46
61,5,47
61,2,48
61,5,49
61,3,50
61,0,51
1090,44,0
1090,66.54,1
1090,19,2
1090,23,3
1090,12,4
1090,9.6,5
1090,18,6
1090,17,7
1090,13,8
1090,13,9
1090,4,10
1090,3.27,11
1090,8,12
1090,6,13
1090,7,14
1090,3,15
1093,9,0
1093,46.9,1
1093,19,2
1093,14,3
1093,3,4
1093,0,5
1093,6,6
1093,83,7
1093,35,8
1093,74,9
1093,30,10
1093,27.27,11
1093,23,12
1093,38,13
1093,33,14
1093,21,15
1097,36,0
1097,53.45,1
1097,49,2
1097,11,3
1097,16,4
1097,7.2,5
1097,14,6
1097,11,7
1097,193,8
1097,146,9
1097,37,10
1097,52.36,11
1097,23,12
1097,25,13
1097,86,14
1097,46,15
1101,70,0
1101,70.9,1
1101,85,2
1101,199,3
1101,56,4
1101,2.4,5
1101,94,6
1101,39,7
1101,85,8
1101,14,9
1101,75,10
1101,78.54,11
1101,40,12
1101,58,13
1101,128,14
1101,11,15
1102,199,0
1102,229.09,1
1102,115,2
1102,229,3
1102,281,4
1102,684,5
1102,144,6
1102,102,7
1102,55,8
1102,43,9
1102,71,10
1102,77.45,11
1102,45,12
1102,54,13
1102,47,14
1102,71,15
1104,552,0
1104,763.63,1
1104,784,2
1104,1040,3
1104,927,4
1104,612,5
1104,3180,6
1104,791,7
1104,1235,8
1104,1445,9
1104,1139,10
1104,1426.9,11
1104,2127,12
1104,2207,13
1104,923,14
1104,1345,15
1106,58,0
1106,28.36,1
1106,56,2
1106,62,3
1106,65,4
1106,100.8,5
1106,161,6
1106,91,7
1106,54,8
1106,58,9
1106,48,10
1106,79.63,11
1106,90,12
1106,127,13
1106,71,14
1106,110,15
1109,305,0
1109,538.9,1
1109,251,2
1109,303,3
1109,63,4
1109,48,5
1109,120,6
1109,420,7
1109,214,8
1109,105,9
1109,144,10
1109,110.18,11
1109,113,12
1109,193,13
1109,279,14
1109,394,15
1111,82,0
1111,84,1
1111,55,2
1111,65,3
1111,70,4
1111,40.8,5
1111,60,6
1111,102,7
1111,81,8
1111,166,9
1111,70,10
1111,183.27,11
1111,173,12
1111,219,13
1111,113,14
1111,140,15
1112,607,0
1112,999.27,1
1112,505,2
1112,1054,3
1112,227,4
1112,302.4,5
1112,2788,6
1112,928,7
1112,713,8
1112,940,9
1112,1323,10
1112,3291.27,11
1112,2964,12
1112,1486,13
1112,628,14
1112,2169,15
1115,72,0
1115,316.36,1
1115,75,2
1115,12,3
1115,14,4
1115,48,5
1115,111,6
1115,70,7
1115,150,8
1115,871,9
1115,141,10
1115,42.54,11
1115,80,12
1115,59,13
1115,19,14
1115,21,15
1116,319,0
1116,1555.63,1
1116,648,2
1116,262,3
1116,60,4
1116,91.2,5
1116,133,6
1116,57,7
1116,23,8
1116,391,9
1116,106,10
1116,37.09,11
1116,624,12
1116,161,13
1116,55,14
1116,45,15
1159,3,0
1159,7,1
1159,3,7
1159,4,8
1159,7,9
1159,6,10
1159,6,12
1159,8,13
1159,10,14
1159,5,15
1159,8,16
1159,7,17
1159,6,18
1159,6,19
1159,6,20
1159,14,21
1159,8,22
1159,15,23
1159,17,24
1159,15,25
1159,19,26
1159,19,27
1159,14,28
1159,12,29
1159,20,30
1159,14,31
1159,12,32
1159,15,33
1159,11,34
1159,7,35
1159,15,36
1159,7,37
1159,8,38
1159,10,39
1159,9,40
1159,10,41
1159,9,42
1159,16,43
1159,7,44
1159,9,45
1159,5,46
1159,5,47
1159,5,48
1159,7,49
1160,1,0
1160,1,1
1160,0,2
1160,1,3
1160,2,4
1160,3,5
1160,3,6
1160,4,7
1160,6,8
1160,6,9
1160,10,10
1160,7,11
1160,7,12
1160,9,13
1160,12,14
1160,12,15
1160,12,16
1160,15,17
1160,12,18
1160,10,19
1160,8,20
1160,19,21
1160,15,22
1160,15,23
1160,10,24
1160,16,25
1160,14,26
1160,13,27
1163,1,0
1163,0,1
1163,3,7
1163,4,8
1163,8,9
1163,14,10
1163,0,12
1163,10,13
1163,20,14
1163,31,15
1163,40,16
1163,25,17
1163,25,18
1163,28,19
1163,32,20
1163,45,21
1163,61,22
1163,46,23
1163,31,24
1163,28,25
1163,30,26
1163,31,27
1163,51,28
1163,32,29
1163,45,30
1163,22,31
1163,28,32
1163,31,33
1163,27,34
1163,19,35
1163,20,36
1163,21,37
1163,25,38
1163,22,39
1163,14,40
1163,16,41
1163,13,42
1163,14,43
1163,5,44
1163,9,45
1163,8,46
1163,12,47
1163,10,48
1163,7,49
1166,8,0
1166,10,1
1166,25,2
1166,16,3
1166,9,6
1166,16,7
1166,17,8
1166,22,9
1166,16,10
1166,20,11
1166,29,12
1166,21,13
1166,16,14
1166,22,15
1166,20,16
1166,13,17
1166,22,18
1166,39,19
1166,25,20
1166,13,21
1166,21,22
1166,25,23
1166,44,24
1166,70,25
1166,92,26
1166,85,27
1166,52,28
1166,57,29
1166,61,30
1166,66,31
1166,62,32
1166,44,33
1166,38,34
1166,62,35
1166,59,36
1166,47,37
1166,55,38
1166,18,39
1166,64,40
1166,61,41
1166,70,42
1170,17,0
1170,9,1
1170,22,7
1170,21,8
1170,20,9
1170,20,10
1170,0,12
1170,15,13
1170,25,14
1170,27,15
1170,27,16
1170,26,17
1170,22,18
1170,25,19
1170,20,20
1170,28,21
1170,25,22
1170,45,23
1170,33,24
1170,16,25
1170,18,26
1170,22,27
1170,24,28
1170,14,29
1170,18,30
1170,15,31
1170,21,32
1170,14,33
1170,16,34
1170,11,35
1170,17,36
1170,14,37
1170,14,38
1170,19,39
1170,17,40
1170,24,41
1170,10,42
1170,10,43
1170,10,44
1170,12,45
1170,7,46
1170,9,47
1170,7,48
1170,16,49
1174,1,0
1174,7,1
1174,7,2
1174,1,3
1174,17,4
1174,11,5
1174,45,6
1174,12,7
1174,16,8
1174,6,9
1174,38,10
1174,16,11
1174,21,12
1174,17,13
1174,20,14
1174,22,15
1174,0,16
1174,0.5,17
1174,0.5,18
1174,0.5,19
1174,1,20
1174,0,21
1174,2,22
1174,1,23
1174,10,24
1174,1,25
1174,1,26
1174,0,27
1181,5,0
1181,3,2
1181,12,3
1181,0,4
1181,4,5
1181,2,9
1181,20,10
1181,0,11
1181,8,13
1181,6,14
1181,10,15
1181,18,16
1181,5,17
1181,6,18
1181,6,19
1181,8,20
1181,15,21
1181,6,22
1181,12,23
1181,26,24
1181,7,25
1181,9,26
1181,28,27
1181,0.5,28
1181,0.5,29
1181,0.5,30
1181,0.5,31
1181,0.5,32
1181,2,33
1181,6,34
1181,1,35
1181,0.5,36
1181,16,37
1181,0.5,38
1181,0.5,39
1181,0.5,40
1181,0.5,41
1181,0.5,42
1181,0.5,43
1181,0.5,44
1181,0.5,45
1181,0.5,46
1181,0.5,47
1181,0.5,48
1181,0.5,49
1181,0.5,50
1181,0.5,51
1181,0.5,52
1185,3,0
1185,25,1
1185,1,2
1185,0.5,3
1185,6,4
1185,0,5
1185,8,6
1185,1,7
1185,14,8
1185,30,9
1185,22,10
1185,38,11
1185,20,12
1185,18,13
1185,0.5,14
1185,36,15
1185,18,16
1185,47,17
1185,42,18
1185,33,19
1185,6,20
1185,25,21
1185,18,22
1185,13,23
1185,18,24
1185,24,25
1185,38,26
1185,29,27
1185,10,28
1188,15,0
1188,25,2
1188,20,3
1188,3,4
1188,1,5
1188,10,9
1188,10,10
1188,85,11
1188,0,13
1188,0,14
1188,5,15
1188,0,16
1188,9,17
1188,0,18
1188,0,19
1188,4,20
1188,0,21
1188,0,22
1188,30,23
1188,7,24
1188,20,25
1188,2,26
1188,1,27
1188,5,28
1188,18,29
1188,6,30
1188,10,31
1188,20,32
1188,10,33
1188,16,34
1188,13,35
1188,2,36
1188,8,37
1188,10,38
1188,0.5,39
1188,17,40
1188,12,41
1188,7,42
1188,7,43
1188,5,44
1188,14,45
1188,6,46
1188,22,47
1188,45,48
1188,2,49
1188,3,50
1188,8,51
1188,11,52
1189,10,0
1189,11,2
1189,47,3
1189,25,4
1189,0,5
1189,10,9
1189,20,10
1189,50,11
1189,25,13
1189,10,14
1189,10,15
1189,20,16
1189,24,17
1189,0,18
1189,0,19
1189,0,20
1189,10,21
1189,5,22
1189,25,23
1189,53,24
1189,40,25
1189,4,26
1189,23,27
1189,19,28
1189,18,29
1189,26,30
1189,25,31
1189,85,32
1189,22,33
1189,45,34
1189,15,35
1189,2,36
1189,19,37
1189,25,38
1189,2,39
1189,6,40
1189,40,41
1189,26,42
1189,19,43
1189,2,44
1189,28,45
1189,30,46
1189,1,47
1189,10,48
1189,18,49
1189,2,50
1189,1,51
1189,14,52
1207,37,0
1207,54,1
1207,32,2
1207,45,3
1207,54,4
1207,38,5
1207,33,6
1207,40,7
1207,30,8
1207,28,9
1207,23,10
1207,2,11
1207,25,12
1207,35,13
1207,27,14
1207,23,15
1207,20,16
1207,30,17
1207,29,18
1207,42,19
1207,20,20
1207,8,21
1207,28,22
1207,17,23
1235,17,0
1235,20,1
1235,20,2
1235,18,3
1235,10,4
1235,14,5
1235,11,6
1235,7,7
1235,16,9
1235,13,10
1235,14,11
1235,17,12
1235,12,13
1235,1,14
1235,5,15
1235,11,16
1235,17,17
1235,25,18
1235,26,19
1235,24,20
1235,25,21
1235,17,22
1235,26,23
1235,27,24
1235,27,25
1235,30,26
1239,24,0
1239,19,1
1239,24,2
1239,22,3
1239,28,4
1239,28,5
1239,30,6
1239,33,7
1239,30,8
1239,23,9
1239,24,10
1239,32,12
1239,29,13
1239,23,14
1239,27,15
1239,32,16
1239,21,17
1239,32,18
1239,37,19
1239,37,20
1239,42,21
1239,43,22
1239,44,23
1239,36,24
1239,44,25
1239,37,26
1239,35,27
1239,38,28
1239,33,29
1314,10584,0
1314,13383,1
1314,7933,2
1314,5509,3
1314,7851,4
1314,11718,5
1314,5618,6
1314,6512,7
1314,9116,8
1314,8529,9
1314,6016,10
1314,8461,11
1314,10758,12
1314,11400,13
1314,8646,14
1314,10362,15
1314,13605,16
1314,13642,17
1314,9163,18
1314,10206,19
1314,10312,20
1314,9872,21
1314,8949,22
1314,8745,23
1314,13503,24
1314,11514,25
1314,8300,26
1314,10587,27
1314,15281,28
1314,11943,29
1314,10986,30
1314,11922,31
1314,10325,32
1314,8566,33
1314,9636,34
1314,10997,35
1314,12661,36
1314,10825,37
1314,8503,38
1314,10570,39
1314,8411,40
1314,9912,41
1314,9436,42
1314,8385,43
1314,8271,44
1314,8259,45
1314,6983,46
1314,9177,47
1314,8279,48
1314,5365,49
1314,6046,50
1314,9174,51
1315,6566,0
1315,7671,1
1315,3965,2
1315,4227,3
1315,5471,4
1315,7472,5
1315,4205,6
1315,4760,7
1315,6208,8
1315,3320,9
1315,4297,10
1315,6401,11
1315,7453,12
1315,7593,13
1315,6178,14
1315,8297,15
1315,9512,16
1315,8208,17
1315,6699,18
1315,7595,19
1315,7807,20
1315,7451,21
1315,7375,22
1315,6735,23
1315,7770,24
1315,7098,25
1315,6845,26
1315,8085,27
1315,8614,28
1315,8536,29
1315,9785,30
1315,10185,31
1315,6850,32
1315,7427,33
1315,8680,34
1315,9438,35
1315,10758,36
1315,9365,37
1315,8084,38
1315,9673,39
1315,7141,40
1315,8337,41
1315,8469,42
1315,7584,43
1315,7066,44
1315,6850,45
1315,6256,46
1315,7521,47
1315,7001,48
1315,4802,49
1315,5221,50
1315,7586,51
1316,1760,0
1316,2329,1
1316,804,2
1316,667,3
1316,1021,4
1316,2201,5
1316,730,6
1316,817,7
1316,1375,8
1316,1587,9
1316,894,10
1316,1077,11
1316,1661,12
1316,1567,13
1316,1044,14
1316,1071,15
1316,1726,16
1316,1895,17
1316,881,18
1316,1126,19
1316,1380,20
1316,1152,21
1316,773,22
1316,922,23
1316,2226,24
1316,2015,25
1316,740,26
1316,1115,27
1316,3612,28
1316,1580,29
1316,979,30
1316,1429,31
1316,2806,32
1316,749,33
1316,828,34
1316,1413,35
1316,1673,36
1316,1297,37
1316,359,38
1316,778,39
1316,1126,40
1316,1317,41
1316,692,42
1316,606,43
1316,1114,44
1316,1305,45
1316,595,46
1316,1466,47
1316,1176,48
1316,502,49
1316,825,50
1316,1395,51
1317,2558,0
1317,3383,1
1317,3164,2
1317,615,3
1317,1359,4
1317,2045,5
1317,683,6
1317,935,7
1317,1533,8
1317,1733,9
1317,915,10
1317,983,11
1317,1644,12
1317,2240,13
1317,1424,14
1317,994,15
1317,2367,16
1317,3539,17
1317,1583,18
1317,1485,19
1317,1125,20
1317,1269,21
1317,801,22
1317,1088,23
1317,3507,24
1317,2401,25
1317,715,26
1317,1387,27
1317,3055,28
1317,1827,29
1317,222,30
1317,308,31
1317,669,32
1317,390,33
1317,128,34
1317,146,35
1317,230,36
1317,163,37
1317,60,38
1317,119,39
1317,144,40
1317,258,41
1317,275,42
1317,195,43
1317,91,44
1317,104,45
1317,132,46
1317,190,47
1317,102,48
1317,61,49
1317,60,50
1317,193,51
1318,15,0
1318,56,1
1318,28,2
1318,5,3
1318,0,4
1318,21,5
1318,46,6
1318,10,7
1318,29,8
1318,19,9
1318,6,10
1318,0,11
1318,9,12
1318,66,13
1318,49,14
1318,4,15
1318,40,16
1318,61,17
1318,40,18
1318,1,19
1318,14,20
1318,8,21
1318,26,22
1318,12,23
1318,56,24
1318,149,25
1319,22,0
1319,29,1
1319,2,2
1319,16,3
1319,12,4
1319,35,5
1319,8,6
1319,83,7
1319,166,8
1319,62,9
1319,77,10
1319,42,11
1319,54,12
1319,56,13
1319,5,14
1319,9,15
1319,78,16
1319,151,17
1319,27,18
1319,14,19
1319,71,20
1319,261,21
1319,22,22
1319,3,23
1319,16,24
1319,70,25
1319,7,26
1319,2,27
1319,26,28
1319,27,29
1319,35,30
1319,9,31
1319,11,32
1319,73,33
1319,39,34
1319,22,35
1319,41,36
1319,31,37
1319,60,38
1319,7,39
1319,28,40
1319,43,41
1319,17,42
1319,26,43
1319,35,44
1319,60,45
1319,75,46
1319,18,47
1319,58,48
1319,38,49
1319,28,50
1319,26,51
1319,29,52
1319,43,53
1319,16,54
1319,40,55
1319,25,56
1319,28,57
1319,12,58
1319,22,59
1319,13,60
1319,52,61
1319,90,62
1319,103,63
1319,15,64
1319,26,65
1319,29,66
1319,102,67
1319,31,68
1319,9,69
1319,33,70
1319,90,71
1319,95,72
1319,17,73
1319,35,74
1319,59,75
1319,115,76
1319,12,77
1319,26,78
1319,38,79
1319,202,80
1319,25,81
1319,83,82
1319,92,83
1319,58,84
1319,0,85
1319,19,86
1319,63,87
1319,108,88
1319,25,89
1319,38,90
1319,231,91
1320,5,0
1320,94,1
1320,17,2
1320,14,3
1320,13,4
1320,28,5
1320,55,6
1320,25,7
1320,55,8
1320,79,9
1320,42,10
1320,32,11
1320,10,12
1320,47,13
1320,226,14
1320,51,15
1320,49,16
1320,96,17
1320,37,18
1320,17,19
1320,29,20
1320,22,21
1321,78,0
1321,159,1
1321,29,2
1321,104,3
1321,82,4
1321,148,5
1321,28,6
1321,256,7
1321,355,8
1321,49,9
1321,214,10
1321,12,11
1321,34,12
1321,285,13
1321,9,14
1321,23,15
1321,85,16
1321,161,17
1321,22,18
1321,22,19
1321,100,20
1321,152,21
1321,38,22
1321,5,23
1321,24,24
1321,127,25
1321,15,26
1321,27,27
1321,81,28
1321,105,29
1321,75,30
1321,21,31
1321,30,32
1321,337,33
1321,34,34
1321,11,35
1321,59,36
1321,48,37
1321,116,38
1321,23,39
1321,161,40
1321,234,41
1321,147,42
1321,70,43
1321,19,44
1321,123,45
1321,383,46
1321,37,47
1321,158,48
1321,151,49
1321,27,50
1321,31,51
1321,55,52
1321,33,53
1321,29,54
1321,67,55
1321,261,56
1321,97,57
1321,27,58
1321,90,59
1321,119,60
1321,173,61
1321,101,62
1321,90,63
1321,17,64
1321,30,65
1321,50,66
1321,157,67
1321,67,68
1321,10,69
1321,39,70
1321,254,71
1321,207,72
1321,10,73
1321,70,74
1321,162,75
1321,144,76
1321,4,77
1321,77,78
1321,83,79
1321,424,80
1321,51,81
1321,74,82
1321,189,83
1321,133,84
1321,0,85
1321,48,86
1321,125,87
1321,91,88
1321,51,89
1321,122,90
1321,309,91
1322,116,0
1322,101,1
1322,23,2
1322,47,3
1322,85,4
1322,109,5
1322,6,6
1322,215,7
1322,206,8
1322,39,9
1322,131,10
1322,8,11
1322,17,12
1322,148,13
1322,15,14
1322,25,15
1322,39,16
1322,192,17
1322,13,18
1322,13,19
1322,72,20
1322,101,21
1322,24,22
1322,12,23
1322,11,24
1322,71,25
1322,2,26
1322,42,27
1322,41,28
1322,105,29
1322,68,30
1322,21,31
1322,21,32
1322,302,33
1322,32,34
1322,6,35
1322,54,36
1322,139,37
1322,78,38
1322,27,39
1322,111,40
1322,194,41
1322,109,42
1322,33,43
1322,16,44
1322,90,45
1322,222,46
1322,29,47
1322,41,48
1322,114,49
1322,41,50
1322,12,51
1322,35,52
1322,29,53
1322,5,54
1322,32,55
1322,158,56
1322,42,57
1322,15,58
1322,29,59
1322,83,60
1322,71,61
1322,60,62
1322,52,63
1322,4,64
1322,19,65
1322,13,66
1322,60,67
1322,30,68
1322,13,69
1322,10,70
1322,82,71
1322,36,72
1322,2,73
1322,11,74
1322,97,75
1322,53,76
1322,6,77
1322,33,78
1322,59,79
1322,148,80
1322,40,81
1322,33,82
1322,162,83
1322,24,84
1322,0,85
1322,0,86
1322,10,87
1322,4,88
1322,0,89
1322,61,90
1322,0,91
1323,60,0
1323,11,1
1323,0,2
1323,10,3
1323,20,4
1323,0,5
1323,10,6
1323,0,7
1323,31,8
1323,77,9
1323,11,10
1323,4,11
1323,23,12
1323,8,13
1323,0,14
1323,1,15
1323,6,16
1323,0,17
1323,8,18
1323,65,19
1323,9,20
